gene	logfc	fdr
comp102877_c0_seq1_m.12929	0.663015504	0.327969216
comp10289_c0_seq1_m.4678	-0.196648694	0.757842413
comp1029_c0_seq1_m.280	-0.543146102	0.614342537
comp10291_c0_seq1_m.37323	0.06562992	0.977728915
comp10291_c0_seq1_m.37324	0.027231499	0.993537422
comp10291_c0_seq2_m.37325	-0.063315406	0.97536335
comp10291_c0_seq3_m.37326	0.027234636	0.993537422
comp10292_c0_seq1_m.4679	-0.030624501	0.992054361
comp10292_c0_seq1_m.4680	-0.083816151	0.975800785
comp10293_c0_seq1_m.4681	-0.280512448	0.178867487
comp102938_c0_seq1_m.12931	-0.177201877	0.91968567
comp10294_c0_seq1_m.35124	-0.364738792	0.613037943
comp10296_c0_seq1_m.4682	-0.279755086	0.802713992
comp10297_c0_seq1_m.4683	-0.305065711	0.480293741
comp10298_c0_seq1_m.4684	-0.306856752	0.421135301
comp10299_c0_seq1_m.17311	-0.677656238	0.352257766
comp10299_c0_seq2_m.17312	-0.2186393	0.600959074
comp103_c0_seq1_m.20714	-0.428431585	0.581229761
comp10300_c0_seq1_m.38524	-0.106814937	0.931877475
comp10301_c0_seq1_m.4685	-0.107719512	0.869391575
